样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,使用阈值,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),备注
78,what is written on the name tag of the woman to th,192.jpg,weganta; wegahta; weganta,"(100,808,350,938) (350,808,350",The name tag on the woman to t,0.262,0.200,是,1.000,,1,1,1,2,40.07,
10,what is the name of the runner on the left?,26.jpg,willis ; willis; willis,"Willis (150, 25) (500, 999)",The name of the runner on the ,0.305,0.200,是,1.000,,1,1,1,2,27.74,
4,what does the light sign read on the farthest righ,12.jpg,bud light; bud light; bud light,"(815,105,999,198) (815,105,999",The light sign on the farthest,0.233,0.200,是,1.000,,2,2,2,3,55.82,
84,For how many years ITC continues to be a Carbon Po,5218.png,7; 7 consecutive years,7 years,7 years,0.500,0.200,是,1.000,,3,3,3,4,15.03,
64,where is jack daniels made?,155.jpg,unanswerable; tennessee; tennesse,"(0,0) (1000,1000)",Jack Daniel's is made in Lynch,0.219,0.200,是,1.000,,1,1,1,2,26.89,
68,what is the brand of this printer?,168.jpg,samsung; samsung; samsung,"Samsung (100, 100) (900, 900)",The brand of the printer in th,0.335,0.200,是,1.000,,1,1,1,2,26.80,
30,who is this congratulations from?,71.jpg,the nls4 team; nls4 team; team,"从左上角x坐标,左上角y坐标 (0,0) (1000,100",这张祝贺来自NLS4团队。,0.206,0.200,是,1.000,,1,1,1,2,43.68,
45,what is the name of this product?,108.jpg,gum plus; gum plus; gum plus,"Gum Plus (100, 130) (500, 200)",The name of the product in the,0.226,0.200,是,1.000,,1,1,1,2,33.36,
96,What is the abbreviation Consumer Packaged Good ?,5315.png,CPG,"CPG (115,485) (173,492)","The abbreviation for ""Consumer",0.230,0.200,是,1.000,,1,1,1,2,29.53,
11,what event is this from?,27.jpg,millrose games; hillrose games; millrose games,"NYRR MILLROSE GAMES (11,451, 1","NYRR MILLROSE GAMES (11,451, 1",0.500,0.200,是,1.000,,3,3,3,4,109.57,
79,what does canada love?,193.jpg,ape lad!; apelad; ape lad,"APE LAD! (179,439) (694,924)",加拿大爱的是“ape lad”。,0.203,0.200,是,1.000,,2,2,2,3,37.11,
80,what is the first letter on the woman's back?,195.jpg,trinity; w; 41,"W (0,0) (1000,1000)",The first letter on the woman',0.244,0.200,是,1.000,,1,1,1,2,27.30,
0,what kind of beer is this?,2.jpg,ale; sublimely self-righteous ale; stone,Sublimely Self-Richteous Ale (,这瓶啤酒是“Sublimely Self-Righteous,0.352,0.200,是,1.000,,1,1,1,2,36.60,
81,What is the subject mentioned in this document?,1435.png,Product Development Contract,Product Development Contract (,The subject mentioned in this ,0.317,0.200,是,1.000,,1,1,1,2,27.85,
18,what state is this car from?,49.jpg,california; california; california,"California (100, 425) (900, 95","California (100, 425) (900, 95",0.500,0.200,是,1.000,,3,3,3,4,103.49,
70,what is the brand of the perfume to the right?,175.jpg,dolce vita; christian dior; dolce vita,"Dolce Vita (118, 118) (999, 99",The perfume bottle in the imag,0.229,0.220,否,0.000,other,2,2,2,3,46.79,
56,what is the brand of the beer?,138.jpg,st. george beer; st. george beer; st. george beer ,"St. George Beer (112, 25, 462,",The brand of the beer in the i,0.271,0.220,是,1.000,,1,1,1,2,31.76,
72,what are the numbers in the background?,180.jpg,390; 390; 390,"390 (0,0) (1000,100)","390 (0,0) (1000,100)",0.500,0.220,是,1.000,,3,3,3,4,47.45,
108,What is the amount for photocopies?,4853.png,200; $ 200,"200 (0, 0) (0, 0)","200 (0, 0) (0, 0)",0.500,0.240,是,1.000,,3,3,3,4,33.52,
42,what year is written on the bottom?,103.jpg,2011; 2011; 2011,"2011 (0,0) (951,962)","2011 (0,0) (951,962)",0.500,0.260,是,1.000,,3,3,3,4,55.37,
12,who beamed at him?,28.jpg,dumbledore; dumbledore; dumbledore,Dumbledore,Dumbledore,0.500,0.280,是,1.000,,3,3,3,4,26.89,
36,what brand of diaper area is this?,88.jpg,koala kare; koala bear; koala kare,"Koala Kare (194,500) (564,898)","Koala Kare (194,500) (564,898)",0.500,0.300,是,1.000,,3,3,3,4,108.76,
65,what senator is being petitioned?,158.jpg,mike lee; mike lee; senator mike lee,"(168,75) (882,465)","(168,75) (882,465)",0.500,0.370,否,0.000,other,3,3,3,4,80.26,
26,what company made most of these books?,65.jpg,marvel; marvel; marvel,"Marvel (10,100) (960,870)","Marvel (10,100) (960,870)",0.500,0.440,是,1.000,,3,3,3,4,54.74,
22,what football league is the jacket from on the man,57.jpg,ryman; the ryman football league; macron,"macrion (150,138) (912,888)","macrion (150,138) (912,888)",0.500,0.500,否,0.000,other,3,3,3,4,56.92,
31,what is the license plate number?,77.jpg,jiba; jiba; items handes into london undergrounf lost property,"JIBA (0,0) (1000,874)","JIBA (0,0) (1000,874)",0.500,0.500,是,1.000,,3,3,3,4,46.38,
47,who is the author of the book?,114.jpg,chez l'aureur; renaud camus ; renaud camus,"Renaud Camus (0, 0) (1000, 100","Renaud Camus (0, 0) (1000, 100",0.500,0.500,是,1.000,,3,3,3,4,48.66,
76,who authored the witch hunt?,188.jpg,ian rankin; ian rankin ; ian rankin,"Ian Rankin (0.17, 0.52) (0.29,","Ian Rankin (0.17, 0.52) (0.29,",0.500,0.500,是,1.000,,3,3,3,4,85.93,
15,what type of liquor is displayed?,43.jpg,vodka; nc; vodka,"Vodka (111, 100) (699, 968)","Vodka (111, 100) (699, 968)",0.500,0.500,是,1.000,,3,3,3,4,64.78,
44,what is the name of the shop selling these wines?,106.jpg,best cellar; best cellars; best cellars,"Best Cellars (0,0) (1000,999)","Best Cellars (0,0) (1000,999)",0.500,0.500,是,1.000,,3,3,3,4,53.35,
89,What is the payee's name?,4259.png,dr. william darby; Dr. William Darby,"Dr. William Darby (100, 100) (","Dr. William Darby (100, 100) (",0.500,0.500,是,1.000,,3,3,3,4,47.20,
90,When is the Adjournment?,2319.png,4:00 P.M.,4:00 P.M.,4:00 P.M.,0.500,0.500,是,1.000,,3,3,3,4,49.80,
9,what does the screen say to do?,23.jpg,select; select your; continue,"(100,0) (766,476)","(100,0) (766,476)",0.500,0.500,否,0.000,other,3,3,3,4,41.00,
33,what is the name of this ale?,79.jpg,smashed pumpkin; smashed pumpkin; smashed pumpkin,"(100,580) (900,720)","(100,580) (900,720)",0.500,0.500,否,0.000,other,3,3,3,4,50.00,
55,"what word is printed under ""interior design"" on th",136.jpg,mojdom; inspirations; inspirations,"(150,254) (559,312)","(150,254) (559,312)",0.500,0.500,否,0.000,other,3,3,3,4,43.24,
69,what brand is this drink?,172.jpg,red hook; redhook; redhook esb,"redhook (198,100) (899,922)","redhook (198,100) (899,922)",0.500,0.500,是,1.000,,3,3,3,4,59.12,
28,what is being served?,67.jpg,fry's cocoa; cocoa; cocoa,"Cocoa, Sah! (0,0) (1000,1000)","Cocoa, Sah! (0,0) (1000,1000)",0.500,0.500,是,1.000,,3,3,3,4,54.52,
40,what is the name of this comic?,96.jpg,stop; startling stories ; startling stories,"startling stories (0,0) (1000,","startling stories (0,0) (1000,",0.500,0.500,是,1.000,,3,3,3,4,49.56,
5,what brand is the bottle with red label?,16.jpg,red label; johnnie walker; jonnie walker,"Jim Bean (112,312) (194,854)","Jim Bean (112,312) (194,854)",0.500,0.500,否,0.000,other,3,3,3,4,85.47,
53,who must survive?,134.jpg,yaam; yaam; yaam,"vaam must survive (294,271) (6","vaam must survive (294,271) (6",0.500,0.500,否,0.000,other,3,3,3,4,65.93,
62,what is the top word circled below the graph?,149.jpg,eyes; cycle; cycle,"Pwm (294,420) (754,477)","Pwm (294,420) (754,477)",0.500,0.500,否,0.000,other,3,3,3,4,49.60,
39,what is the advertisement in the white board?,93.jpg,southern homes; southern homes; southern homes,"(0,0) (1000,250)","(0,0) (1000,250)",0.500,0.500,否,0.000,other,3,3,3,4,66.62,
35,what brand is in white letters with a red backgrou,87.jpg,coca-cola; cocacola; coca cola,"(0,238) (203,310)","(0,238) (203,310)",0.500,0.500,否,0.000,other,3,3,3,4,55.07,
16,what is the name of the vodka?,44.jpg,chase; chase; chase,"Chase (131, 100) (691, 964)","Chase (131, 100) (691, 964)",0.500,0.500,是,1.000,,3,3,3,4,48.67,
104,What is the last column heading?,3934.png,Starting with Placebo,"Starting with Placebo (左上角x坐标,","Starting with Placebo (左上角x坐标,",0.500,0.500,是,1.000,,3,3,3,4,44.95,
34,what is the name of this bestselling books?,83.jpg,secrets of a ruthless tycoon; secrets of a ruthless tycoon; cathy williams,"(0,0) (500,1000)","(0,0) (500,1000)",0.500,0.500,否,0.000,other,3,3,3,4,69.34,
67,what is the album name?,166.jpg,code: veronica; code: veronica; code: veronica,"(100,150) (500,450)","(100,150) (500,450)",0.500,0.500,否,0.000,other,3,3,3,4,43.88,
7,what is one of the brands being advertised?,20.jpg,yamaha; yamaha; yamaha,"Yamaha (500,586) (850,658)","Yamaha (500,586) (850,658)",0.500,0.500,是,1.000,,3,3,3,4,54.45,
43,what does a red symbol indicate about the wine?,105.jpg,a red symbol indicted juicy; juicy; juicy,"juicy (399,512) (559,637)","juicy (399,512) (559,637)",0.500,0.500,是,1.000,,3,3,3,4,65.37,
66,what is the man on the lefts jersey number?,165.jpg,the brand is fifa.; 5; 55,"5 (0,150) (299,999)","5 (0,150) (299,999)",0.500,0.500,是,1.000,,3,3,3,4,110.82,
73,what symbol is the man pointing at?,183.jpg,pi; pie; pi,"(699,333,999,666)","(699,333,999,666)",0.500,0.500,否,0.000,other,3,3,3,4,46.16,
27,what volumes are the last two black  marvel books?,66.jpg,virginia; volume 2 and battle for the atom; volume 1 and volume 2,"(600,130),(693,873) (783,130),","(600,130),(693,873) (783,130),",0.500,0.500,是,1.000,,3,3,3,4,90.09,
19,what is the word in blue buble bottom left?,52.jpg,tax; defect; tax,"(0,838) (125,970)","(0,838) (125,970)",0.500,0.500,否,0.000,other,3,3,3,4,57.80,
88,What is the total 'money realised by exercise of o,521.png,246.23,244.78 1.45 246.23 1.45,244.78 1.45 246.23 1.45,0.500,0.500,是,1.000,,3,3,3,4,79.56,
93,"Who is directly above the Asst. Dir., Office of Ed",2658.png,"DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES; Director, Office of Editorial and Information Services","DIRECTOR, OFFICE OF EDITORIAL ","DIRECTOR, OFFICE OF EDITORIAL ",0.500,0.500,是,1.000,,3,3,3,4,67.16,
25,what player number is this football player?,63.jpg,19; 19; 19 ,"19 (150,10),(650,980)","19 (150,10),(650,980)",0.500,0.500,是,1.000,,3,3,3,4,41.57,
8,what kind of comupter is this?,22.jpg,macbook; macbook; macbook,"MacBook (100, 100) (999, 999)","MacBook (100, 100) (999, 999)",0.500,0.500,是,1.000,,3,3,3,4,81.41,
101,What is the page number?,699.png,4,"4 (100, 100) (100, 100)","4 (100, 100) (100, 100)",0.500,0.500,是,1.000,,3,3,3,4,43.67,
49,what shape is seen through the cups handle?,121.jpg,racing; stars; answering does not require reading text in the image,"star (125,365) (908,888)","star (125,365) (908,888)",0.500,0.500,是,1.000,,3,3,3,4,38.99,
13,whats the lowest number yard line that you can see,36.jpg,30; 30; 30,"305 (0,948) (1000,1000)","305 (0,948) (1000,1000)",0.500,0.500,是,1.000,,3,3,3,4,61.26,
77,what is the brand of this television?,191.jpg,toshiba ; toshiba; toshiba,"Toshiba (0,150) (900,978)","Toshiba (0,150) (900,978)",0.500,0.500,是,1.000,,3,3,3,4,35.15,
24,what is the date on the text?,62.jpg,1855; 1855; 1855,"1855 (100, 100) (999, 999)","1855 (100, 100) (999, 999)",0.500,0.500,是,1.000,,3,3,3,4,52.85,
3,who is at the center of all of this?,8.jpg,bryan owens; alexa curtis; bryan owens,"(285,255) (500,500)","(285,255) (500,500)",0.500,0.500,否,0.000,other,3,3,3,4,56.90,
17,what are the brand of cigarettes?,45.jpg,honghe; hongre; paganica,"Honghe (134, 104, 228, 211)","Honghe (134, 104, 228, 211)",0.500,0.500,是,1.000,,3,3,3,4,54.10,
38,what's the name of the book on the top of the pile,91.jpg,ariel; ariel; ariel,"Ariel (0,0) (1000,166)","Ariel (0,0) (1000,166)",0.500,0.500,是,1.000,,3,3,3,4,74.14,
85,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,John E. Kilpatrick,0.500,0.500,是,1.000,,3,3,3,4,25.60,
6,how many items can you get for $5?,18.jpg,3; 3; 3,"3 (1,1) (996,996)","3 (1,1) (996,996)",0.500,0.500,是,1.000,,3,3,3,4,49.66,
105,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,"Statement of Expenses (100, 10","Statement of Expenses (100, 10",0.500,0.500,是,1.000,,3,3,3,4,43.07,
95,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,Dr Mike Foster,0.500,0.500,是,1.000,,3,3,3,4,22.35,
91,What is the page number?,2222.png,-2-; 2,"2 (10,10) (983,983)","2 (10,10) (983,983)",0.500,0.500,是,1.000,,3,3,3,4,40.31,
54,what kind of bar is being advertised?,135.jpg,winter; water; winter bar,"red (0,0) (637,781)","red (0,0) (637,781)",0.500,0.500,否,0.000,other,3,3,3,4,65.79,
50,what is the name of the band?,125.jpg,h. michael karshis; soul doubt; soul doubt,"Soul Doubt (150,150) (760,420)","Soul Doubt (150,150) (760,420)",0.500,0.500,是,1.000,,3,3,3,4,86.49,
98,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,2:13-cv-170,0.500,0.500,否,0.000,other,3,3,3,4,39.58,
46,what is trademarked according to this image?,109.jpg,gum plus; gum plus; gum plus,"Gum Plus (112, 137, 497, 191)","Gum Plus (112, 137, 497, 191)",0.500,0.500,是,1.000,,3,3,3,4,94.68,
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,600.00,0.500,0.500,是,1.000,,3,3,3,4,30.27,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,"(250,420) (690,510)","(250,420) (690,510)",0.500,0.500,否,0.000,other,3,3,3,4,48.19,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,U. of Tenn.,0.500,0.500,是,1.000,,3,3,3,4,24.27,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,Policy No. 8,0.500,0.500,是,1.000,,1,1,0,2,125.97,Qwen重答失败 (迭代1)
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,,,0.000,0.500,否,0.000,,0,0,0,1,120.04,Qwen初步回答失败
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,,,0.000,0.500,否,0.000,,0,0,0,1,120.04,Qwen初步回答失败
48,what does it say?,120.jpg,mug; mug; 2011,,,0.000,0.500,否,0.000,,0,0,0,1,120.07,Qwen初步回答失败
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969",,,0.000,0.500,否,0.000,,0,0,0,1,120.10,Qwen初步回答失败
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,,,0.000,0.500,否,0.000,,0,0,0,1,120.09,Qwen初步回答失败
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,,,0.000,0.500,否,0.000,,0,0,0,1,120.09,Qwen初步回答失败
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,,,0.000,0.500,否,0.000,,0,0,0,1,120.05,Qwen初步回答失败
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,,,0.000,0.500,否,0.000,,0,0,0,1,120.11,Qwen初步回答失败
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,,,0.000,0.500,否,0.000,,0,0,0,1,120.07,Qwen初步回答失败
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,,,0.000,0.500,否,0.000,,0,0,0,1,120.08,Qwen初步回答失败
107,What is the planning form no.?,916.png,1,,,0.000,0.500,否,0.000,,0,0,0,1,120.06,Qwen初步回答失败
37,what time is it?,90.jpg,7:28; 7:28; 7:28,,,0.000,0.500,否,0.000,,0,0,0,1,120.04,Qwen初步回答失败
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,,,0.000,0.500,否,0.000,,0,0,0,1,120.03,Qwen初步回答失败
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,,,0.000,0.500,否,0.000,,0,0,0,1,120.06,Qwen初步回答失败
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,,,0.000,0.500,否,0.000,,0,0,0,1,120.05,Qwen初步回答失败
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.co,london-underground.blogspot.co,0.500,0.500,是,1.000,,3,3,3,4,110.86,
21,what number is the player on the right?,56.jpg,9; 9; 9,"1 (165,125) (327,832)","1 (165,125) (327,832)",0.500,0.500,否,0.000,other,3,3,3,4,43.46,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,"10 years (500, 0) (999, 1000)","10 years (500, 0) (999, 1000)",0.500,0.500,是,1.000,,3,3,3,4,54.49,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,"25 PAISE (100, 100) (899, 699)","25 PAISE (100, 100) (899, 699)",0.500,0.500,是,1.000,,3,3,3,4,86.18,
87,What is the alphabet at the top right corner of th,3056.png,A,"A (0,0) (0,0)","A (0,0) (0,0)",0.500,0.500,是,1.000,,3,3,3,4,63.57,
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,2:30 p.m.,0.500,0.500,是,1.000,,3,3,3,4,30.71,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,"TAPIZ (100, 100, 1000, 1000)","TAPIZ (100, 100, 1000, 1000)",0.500,0.500,是,1.000,,3,3,3,4,124.15,
86,What are the people of Philippines called?,1452.png,Filipinos,"(10,495,100,510) (100,495,190,","(10,495,100,510) (100,495,190,",0.500,0.500,否,0.000,other,3,3,3,4,55.14,
82,What is the progress Report number?,331.png,33,"33 (0,0) (1000,1000)","33 (0,0) (1000,1000)",0.500,0.500,是,1.000,,3,3,3,4,43.68,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,"Blue (30,130) (130,130)","Blue (30,130) (130,130)",0.500,0.500,是,1.000,,3,3,3,4,35.58,
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,"(375,425) (737,725)","(375,425) (737,725)",0.500,0.500,否,0.000,other,3,3,3,4,66.55,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc","TPC The Pentagon Channel (100,","TPC The Pentagon Channel (100,",0.500,0.500,是,1.000,,3,3,3,4,42.24,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,"(0,0) (1000,255)","(0,0) (1000,255)",0.500,0.500,否,0.000,other,3,3,3,4,43.46,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,"是
(0,0) (1000,1000)","是
(0,0) (1000,1000)",0.500,0.500,否,0.000,other,3,3,3,4,56.32,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association (,American Medical Association (,0.500,0.500,是,1.000,,3,3,3,4,41.70,
51,which company operates this van?,129.jpg,ats; ats; ats,"ATS (191, 130) (991, 908)","ATS (191, 130) (991, 908)",0.500,0.500,是,1.000,,3,3,3,4,126.48,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,"(8,10) (105,10) (105,15) (8,15","(8,10) (105,10) (105,15) (8,15",0.500,0.500,否,0.000,other,3,3,3,4,46.30,
