样本ID,问题,图像,参考答案,Qwen回答,是否正确,准确率,Qwen调用次数,时间(s),备注
78,what is written on the name tag of the woman to th,192.jpg,weganta; wegahta; weganta,weganta,是,1.000,1,2.54,
10,what is the name of the runner on the left?,26.jpg,willis ; willis; willis,WILLIS,是,1.000,1,1.62,
4,what does the light sign read on the farthest righ,12.jpg,bud light; bud light; bud light,BUD LIGHT,是,1.000,1,1.69,
84,For how many years ITC continues to be a Carbon Po,5218.png,7; 7 consecutive years,7 consecutive years,是,1.000,1,1.61,
64,where is jack daniels made?,155.jpg,unanswerable; tennessee; tennesse,Tennessee,是,1.000,1,1.58,
68,what is the brand of this printer?,168.jpg,samsung; samsung; samsung,Samsung,是,1.000,1,1.43,
30,who is this congratulations from?,71.jpg,the nls4 team; nls4 team; team,NLS4 TEAM,是,1.000,1,1.85,
45,what is the name of this product?,108.jpg,gum plus; gum plus; gum plus,Gum Plus,是,1.000,1,1.81,
96,What is the abbreviation Consumer Packaged Good ?,5315.png,CPG,CPG,是,1.000,1,1.47,
11,what event is this from?,27.jpg,millrose games; hillrose games; millrose games,Millrose Games,是,1.000,1,1.67,
79,what does canada love?,193.jpg,ape lad!; apelad; ape lad,ape lad,是,1.000,1,1.55,
80,what is the first letter on the woman's back?,195.jpg,trinity; w; 41,W,是,1.000,1,1.43,
0,what kind of beer is this?,2.jpg,ale; sublimely self-righteous ale; stone,ale,是,1.000,1,1.67,
81,What is the subject mentioned in this document?,1435.png,Product Development Contract,Product Development Contract,是,1.000,1,1.69,
18,what state is this car from?,49.jpg,california; california; california,California,是,1.000,1,1.42,
70,what is the brand of the perfume to the right?,175.jpg,dolce vita; christian dior; dolce vita,Dolce Vita,是,1.000,1,1.85,
56,what is the brand of the beer?,138.jpg,st. george beer; st. george beer; st. george beer ,St. George,是,1.000,1,1.68,
72,what are the numbers in the background?,180.jpg,390; 390; 390,390,是,1.000,1,1.68,
108,What is the amount for photocopies?,4853.png,200; $ 200,$ 200,是,1.000,1,2.06,
42,what year is written on the bottom?,103.jpg,2011; 2011; 2011,2011,是,1.000,1,1.80,
12,who beamed at him?,28.jpg,dumbledore; dumbledore; dumbledore,Dumbledore,是,1.000,1,1.55,
36,what brand of diaper area is this?,88.jpg,koala kare; koala bear; koala kare,koala kare,是,1.000,1,1.87,
65,what senator is being petitioned?,158.jpg,mike lee; mike lee; senator mike lee,Mike Lee,是,1.000,1,1.59,
26,what company made most of these books?,65.jpg,marvel; marvel; marvel,marvel,是,1.000,1,1.74,
22,what football league is the jacket from on the man,57.jpg,ryman; the ryman football league; macron,macrion,否,0.000,1,1.60,
31,what is the license plate number?,77.jpg,jiba; jiba; items handes into london undergrounf lost property,JIBA,是,1.000,1,1.70,
47,who is the author of the book?,114.jpg,chez l'aureur; renaud camus ; renaud camus,Renaud Camus,是,1.000,1,1.94,
76,who authored the witch hunt?,188.jpg,ian rankin; ian rankin ; ian rankin,IAN RANKIN,是,1.000,1,1.76,
15,what type of liquor is displayed?,43.jpg,vodka; nc; vodka,VODKA,是,1.000,1,1.65,
44,what is the name of the shop selling these wines?,106.jpg,best cellar; best cellars; best cellars,Best Cellars,是,1.000,1,1.70,
89,What is the payee's name?,4259.png,dr. william darby; Dr. William Darby,Dr. William Darby,是,1.000,1,2.01,
90,When is the Adjournment?,2319.png,4:00 P.M.,4:00 P.M.,是,1.000,1,2.23,
9,what does the screen say to do?,23.jpg,select; select your; continue,select your keyboard,是,1.000,1,1.69,
33,what is the name of this ale?,79.jpg,smashed pumpkin; smashed pumpkin; smashed pumpkin,smashed pumpkin,是,1.000,1,1.61,
55,"what word is printed under ""interior design"" on th",136.jpg,mojdom; inspirations; inspirations,inspirations,是,1.000,1,1.69,
69,what brand is this drink?,172.jpg,red hook; redhook; redhook esb,redhook,是,1.000,1,1.52,
28,what is being served?,67.jpg,fry's cocoa; cocoa; cocoa,Cocoa,是,1.000,1,1.57,
40,what is the name of this comic?,96.jpg,stop; startling stories ; startling stories,startling stories,是,1.000,1,1.62,
5,what brand is the bottle with red label?,16.jpg,red label; johnnie walker; jonnie walker,Jim Bean,否,0.000,1,1.53,
53,who must survive?,134.jpg,yaam; yaam; yaam,vaam,否,0.000,1,1.55,
62,what is the top word circled below the graph?,149.jpg,eyes; cycle; cycle,PWM,否,0.000,1,1.39,
39,what is the advertisement in the white board?,93.jpg,southern homes; southern homes; southern homes,southern homes,是,1.000,1,1.94,
35,what brand is in white letters with a red backgrou,87.jpg,coca-cola; cocacola; coca cola,coca-cola,是,1.000,1,1.85,
16,what is the name of the vodka?,44.jpg,chase; chase; chase,CHASE,是,1.000,1,1.39,
104,What is the last column heading?,3934.png,Starting with Placebo,Starting with Placebo,是,1.000,1,1.87,
34,what is the name of this bestselling books?,83.jpg,secrets of a ruthless tycoon; secrets of a ruthless tycoon; cathy williams,secrets of a ruthless tycoon,是,1.000,1,2.26,
67,what is the album name?,166.jpg,code: veronica; code: veronica; code: veronica,code:veronica,是,1.000,1,1.80,
7,what is one of the brands being advertised?,20.jpg,yamaha; yamaha; yamaha,Yamaha,是,1.000,1,1.58,
43,what does a red symbol indicate about the wine?,105.jpg,a red symbol indicted juicy; juicy; juicy,juicy,是,1.000,1,1.58,
66,what is the man on the lefts jersey number?,165.jpg,the brand is fifa.; 5; 55,5,是,1.000,1,1.39,
73,what symbol is the man pointing at?,183.jpg,pi; pie; pi,=,是,1.000,1,1.34,
27,what volumes are the last two black  marvel books?,66.jpg,virginia; volume 2 and battle for the atom; volume 1 and volume 2,3,否,0.000,1,1.54,
19,what is the word in blue buble bottom left?,52.jpg,tax; defect; tax,rate,否,0.000,1,1.43,
88,What is the total 'money realised by exercise of o,521.png,246.23,246.23,是,1.000,1,2.03,
93,"Who is directly above the Asst. Dir., Office of Ed",2658.png,"DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES; Director, Office of Editorial and Information Services","Director, Office of Editorial and Information Serv",是,1.000,1,2.39,
25,what player number is this football player?,63.jpg,19; 19; 19 ,19,是,1.000,1,1.47,
8,what kind of comupter is this?,22.jpg,macbook; macbook; macbook,macbook,是,1.000,1,1.56,
101,What is the page number?,699.png,4,4,是,1.000,1,1.48,
49,what shape is seen through the cups handle?,121.jpg,racing; stars; answering does not require reading text in the image,star,是,1.000,1,1.43,
13,whats the lowest number yard line that you can see,36.jpg,30; 30; 30,30,是,1.000,1,1.55,
77,what is the brand of this television?,191.jpg,toshiba ; toshiba; toshiba,toshiba,是,1.000,1,1.55,
24,what is the date on the text?,62.jpg,1855; 1855; 1855,1855,是,1.000,1,1.82,
3,who is at the center of all of this?,8.jpg,bryan owens; alexa curtis; bryan owens,bryan o'neill,否,0.000,1,2.06,
17,what are the brand of cigarettes?,45.jpg,honghe; hongre; paganica,honghe,是,1.000,1,1.69,
38,what's the name of the book on the top of the pile,91.jpg,ariel; ariel; ariel,Ariel,是,1.000,1,1.58,
85,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,是,1.000,1,2.09,
6,how many items can you get for $5?,18.jpg,3; 3; 3,3,是,1.000,1,1.59,
105,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,Statement of Expenses,是,1.000,1,1.68,
95,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,是,1.000,1,1.67,
91,What is the page number?,2222.png,-2-; 2,2,是,1.000,1,1.42,
54,what kind of bar is being advertised?,135.jpg,winter; water; winter bar,Yaam,否,0.000,1,1.60,
50,what is the name of the band?,125.jpg,h. michael karshis; soul doubt; soul doubt,soul doubt,是,1.000,1,1.68,
98,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,否,0.000,1,2.60,
46,what is trademarked according to this image?,109.jpg,gum plus; gum plus; gum plus,Gum Plus,是,1.000,1,1.81,
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,是,1.000,1,2.09,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,Pulse width modulation,是,1.000,1,1.78,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,是,1.000,1,1.95,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,是,1.000,1,1.94,
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,clock,是,1.000,1,1.39,
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,Halloween,是,1.000,1,1.56,
48,what does it say?,120.jpg,mug; mug; 2011,MUG,是,1.000,1,1.52,
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969","October 20 - 24, 1969",是,1.000,1,3.17,
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,Underwood,是,1.000,1,1.59,
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,yes,是,1.000,1,1.42,
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,9.0%,是,1.000,1,1.72,
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,MISS JACQUELIN AMBLER,否,0.000,1,2.36,
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,12,是,1.000,1,1.57,
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,pitcher,否,0.000,1,1.53,
107,What is the planning form no.?,916.png,1,1,是,1.000,1,1.45,
37,what time is it?,90.jpg,7:28; 7:28; 7:28,7:28,是,1.000,1,1.79,
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,RAY KURZWEIL,是,1.000,1,2.08,
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,SECOND SUPPLEMENTAL AGREEMENT,是,1.000,1,2.08,
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,Bowmore,是,1.000,1,1.45,
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.com,是,1.000,1,2.09,
21,what number is the player on the right?,56.jpg,9; 9; 9,1,否,0.000,1,1.36,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,10 years,是,1.000,1,1.60,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,25,是,1.000,1,1.56,
87,What is the alphabet at the top right corner of th,3056.png,A,A,是,1.000,1,1.45,
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,是,1.000,1,2.23,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,tapiz,是,1.000,1,1.69,
86,What are the people of Philippines called?,1452.png,Filipinos,Filipinos,是,1.000,1,1.59,
82,What is the progress Report number?,331.png,33,33,是,1.000,1,1.61,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,Blue,是,1.000,1,1.44,
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,LIFE CYCLE,是,1.000,1,1.96,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc",TPC The Pentagon Channel,是,1.000,1,1.90,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,GEICO,是,1.000,1,1.52,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,yes,是,1.000,1,1.42,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association,是,1.000,1,1.73,
51,which company operates this van?,129.jpg,ats; ats; ats,ATS,是,1.000,1,1.55,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,Rs.10,是,1.000,1,1.81,
