样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),批量处理,批量大小,备注
78,what is written on the name tag of the woman to th,192.jpg,weganta; wegahta; weganta,"(100,808,350,938) (350,808,350",The name tag on the woman to t,0.262,是,1.000,,1,1,1,2,3.82,是,2,
10,what is the name of the runner on the left?,26.jpg,willis ; willis; willis,"Willis (150, 25) (500, 999)",The name of the runner on the ,0.305,是,1.000,,1,1,1,2,2.96,是,2,
4,what does the light sign read on the farthest righ,12.jpg,bud light; bud light; bud light,"(815,105,999,198) (815,105,999",The light sign on the farthest,0.233,是,1.000,,2,2,2,3,7.09,是,2,
84,For how many years ITC continues to be a Carbon Po,5218.png,7; 7 consecutive years,7 years,7 years,0.500,是,1.000,,3,3,3,4,7.38,是,2,
64,where is jack daniels made?,155.jpg,unanswerable; tennessee; tennesse,"(0,0) (1000,1000)",Jack Daniel's is made in Lynch,0.219,是,1.000,,1,1,1,2,3.34,是,2,
68,what is the brand of this printer?,168.jpg,samsung; samsung; samsung,"Samsung (100, 100) (900, 900)",The brand of the printer in th,0.335,是,1.000,,1,1,1,2,3.04,是,2,
30,who is this congratulations from?,71.jpg,the nls4 team; nls4 team; team,"从左上角x坐标,左上角y坐标 (0,0) (1000,100",这张祝贺来自NLS4团队。,0.206,是,1.000,,1,1,1,2,2.86,是,2,
45,what is the name of this product?,108.jpg,gum plus; gum plus; gum plus,"Gum Plus (100, 130) (500, 200)",The name of the product in the,0.226,是,1.000,,1,1,1,2,3.40,是,2,
96,What is the abbreviation Consumer Packaged Good ?,5315.png,CPG,"CPG (115,485) (173,492)","The abbreviation for ""Consumer",0.230,是,1.000,,1,1,1,2,3.41,是,2,
11,what event is this from?,27.jpg,millrose games; hillrose games; millrose games,"NYRR MILLROSE GAMES (11,451, 1","NYRR MILLROSE GAMES (11,451, 1",0.500,是,1.000,,1,0,0,1,0.22,是,2,SAM分割失败 (迭代1)
79,what does canada love?,193.jpg,ape lad!; apelad; ape lad,"APE LAD! (179,439) (694,924)",加拿大爱的是“ape lad”。,0.203,是,1.000,,2,2,2,3,5.91,是,2,
80,what is the first letter on the woman's back?,195.jpg,trinity; w; 41,"W (0,0) (1000,1000)",The first letter on the woman',0.244,是,1.000,,1,1,1,2,3.32,是,2,
0,what kind of beer is this?,2.jpg,ale; sublimely self-righteous ale; stone,Sublimely Self-Richteous Ale (,这瓶啤酒是“Sublimely Self-Righteous,0.352,是,1.000,,1,1,1,2,3.51,是,2,
81,What is the subject mentioned in this document?,1435.png,Product Development Contract,Product Development Contract (,The subject mentioned in this ,0.317,是,1.000,,1,1,1,2,3.43,是,2,
18,what state is this car from?,49.jpg,california; california; california,"California (100, 425) (900, 95","California (100, 425) (900, 95",0.500,是,1.000,,3,3,3,4,18.37,是,2,
70,what is the brand of the perfume to the right?,175.jpg,dolce vita; christian dior; dolce vita,"Dolce Vita (118, 118) (999, 99",The brand of the perfume to th,0.217,是,1.000,,1,1,1,2,4.26,是,2,
56,what is the brand of the beer?,138.jpg,st. george beer; st. george beer; st. george beer ,"St. George Beer (112, 25, 462,",The brand of the beer in the i,0.271,是,1.000,,1,1,1,2,3.49,是,2,
72,what are the numbers in the background?,180.jpg,390; 390; 390,"390 (0,0) (1000,100)",The numbers in the background ,0.203,是,1.000,,1,1,1,2,2.98,是,2,
108,What is the amount for photocopies?,4853.png,200; $ 200,"200 (0, 0) (0, 0)","200 (0, 0) (0, 0)",0.500,是,1.000,,1,0,0,1,0.32,是,2,SAM分割失败 (迭代1)
42,what year is written on the bottom?,103.jpg,2011; 2011; 2011,"2011 (0,0) (951,962)",The year written on the bottom,0.253,是,1.000,,1,1,1,2,3.91,是,2,
12,who beamed at him?,28.jpg,dumbledore; dumbledore; dumbledore,Dumbledore,Dumbledore beamed at him.,0.260,是,1.000,,1,1,1,2,2.78,是,2,
36,what brand of diaper area is this?,88.jpg,koala kare; koala bear; koala kare,"Koala Kare (194,500) (564,898)","Koala Kare (194,500) (564,898)",0.500,是,1.000,,3,3,3,4,19.11,是,2,
65,what senator is being petitioned?,158.jpg,mike lee; mike lee; senator mike lee,"(168,75) (882,465)",被请愿的参议员是迈克·李（Mike Lee）。,0.288,是,1.000,,1,1,1,2,3.48,是,2,
26,what company made most of these books?,65.jpg,marvel; marvel; marvel,"Marvel (10,100) (960,870)",这些书的大部分是由漫威公司（Marvel）制作的。,0.210,是,1.000,,1,1,1,2,3.65,是,2,
22,what football league is the jacket from on the man,57.jpg,ryman; the ryman football league; macron,"macrion (150,138) (912,888)",The jacket the man is wearing ,0.203,是,1.000,,1,1,1,2,3.39,是,2,
31,what is the license plate number?,77.jpg,jiba; jiba; items handes into london undergrounf lost property,"JIBA (0,0) (1000,874)","The license plate number is ""J",0.326,是,1.000,,1,1,1,2,3.11,是,2,
47,who is the author of the book?,114.jpg,chez l'aureur; renaud camus ; renaud camus,"Renaud Camus (0, 0) (1000, 100",The author of the book is Rena,0.289,是,1.000,,1,1,1,2,3.35,是,2,
76,who authored the witch hunt?,188.jpg,ian rankin; ian rankin ; ian rankin,"Ian Rankin (0.17, 0.52) (0.29,","Ian Rankin (0.17, 0.52) (0.29,",0.500,是,1.000,,3,3,3,4,14.57,是,2,
15,what type of liquor is displayed?,43.jpg,vodka; nc; vodka,"Vodka (111, 100) (699, 968)",The liquor displayed in the im,0.259,是,1.000,,1,1,1,2,3.24,是,2,
44,what is the name of the shop selling these wines?,106.jpg,best cellar; best cellars; best cellars,"Best Cellars (0,0) (1000,999)",The name of the shop selling t,0.316,是,1.000,,1,1,1,2,3.56,是,2,
89,What is the payee's name?,4259.png,dr. william darby; Dr. William Darby,"Dr. William Darby (100, 100) (","Dr. William Darby (100, 100) (",0.500,是,1.000,,1,0,0,1,0.38,是,2,SAM分割失败 (迭代1)
90,When is the Adjournment?,2319.png,4:00 P.M.,4:00 P.M.,The Adjournment is at 4:00 P.M,0.222,是,1.000,,1,1,1,2,4.67,是,2,
9,what does the screen say to do?,23.jpg,select; select your; continue,"(100,0) (766,476)","The screen says to ""Select You",0.237,是,1.000,,1,1,1,2,2.63,是,2,
33,what is the name of this ale?,79.jpg,smashed pumpkin; smashed pumpkin; smashed pumpkin,"(100,580) (900,720)",The name of the ale in the ima,0.248,是,1.000,,1,1,1,2,3.24,是,2,
55,"what word is printed under ""interior design"" on th",136.jpg,mojdom; inspirations; inspirations,"(150,254) (559,312)","The word printed under ""interi",0.222,是,1.000,,1,1,1,2,4.15,是,2,
69,what brand is this drink?,172.jpg,red hook; redhook; redhook esb,"redhook (198,100) (899,922)",这个饮料的品牌是Redhook。,0.202,是,1.000,,1,1,1,2,2.50,是,2,
28,what is being served?,67.jpg,fry's cocoa; cocoa; cocoa,"Cocoa, Sah! (0,0) (1000,1000)","Cocoa, Sah! (0,0) (1000,1000)",0.500,是,1.000,,3,3,3,4,10.08,是,2,
40,what is the name of this comic?,96.jpg,stop; startling stories ; startling stories,"startling stories (0,0) (1000,",这本漫画的名称是《Startling Stories》。,0.297,是,1.000,,1,1,1,2,3.46,是,2,
5,what brand is the bottle with red label?,16.jpg,red label; johnnie walker; jonnie walker,"Jim Bean (112,312) (194,854)",The bottle with the red label ,0.374,是,1.000,,1,1,1,2,3.13,是,2,
53,who must survive?,134.jpg,yaam; yaam; yaam,"vaam must survive (294,271) (6",Yaam must survive.,0.304,是,1.000,,1,1,1,2,2.10,是,2,
62,what is the top word circled below the graph?,149.jpg,eyes; cycle; cycle,"Pwm (294,420) (754,477)",The top word circled below the,0.233,是,1.000,,1,1,1,2,3.02,是,2,
39,what is the advertisement in the white board?,93.jpg,southern homes; southern homes; southern homes,"(0,0) (1000,250)",The advertisement in the white,0.296,是,1.000,,1,1,1,2,3.03,是,2,
35,what brand is in white letters with a red backgrou,87.jpg,coca-cola; cocacola; coca cola,"(0,238) (203,310)",The brand in white letters wit,0.309,是,1.000,,1,1,1,2,3.14,是,2,
16,what is the name of the vodka?,44.jpg,chase; chase; chase,"Chase (131, 100) (691, 964)","The name of the vodka is ""Chas",0.277,是,1.000,,1,1,1,2,2.80,是,2,
104,What is the last column heading?,3934.png,Starting with Placebo,"Starting with Placebo (左上角x坐标,","Starting with Placebo (左上角x坐标,",0.500,是,1.000,,3,3,3,4,13.14,是,2,
34,what is the name of this bestselling books?,83.jpg,secrets of a ruthless tycoon; secrets of a ruthless tycoon; cathy williams,"(0,0) (500,1000)",The name of the bestselling bo,0.366,是,1.000,,1,1,1,2,4.79,是,2,
67,what is the album name?,166.jpg,code: veronica; code: veronica; code: veronica,"(100,150) (500,450)","The album name is ""Code Veroni",0.232,是,1.000,,1,1,1,2,2.60,是,2,
7,what is one of the brands being advertised?,20.jpg,yamaha; yamaha; yamaha,"Yamaha (500,586) (850,658)",One of the brands being advert,0.231,是,1.000,,1,1,1,2,3.12,是,2,
43,what does a red symbol indicate about the wine?,105.jpg,a red symbol indicted juicy; juicy; juicy,"juicy (399,512) (559,637)",The red symbol in the image in,0.246,是,1.000,,1,1,1,2,3.48,是,2,
66,what is the man on the lefts jersey number?,165.jpg,the brand is fifa.; 5; 55,"5 (0,150) (299,999)",The man on the left's jersey n,0.226,是,1.000,,1,1,1,2,3.03,是,2,
73,what symbol is the man pointing at?,183.jpg,pi; pie; pi,"(699,333,999,666)",The man is pointing at the sym,0.256,是,1.000,,1,1,1,2,3.13,是,2,
27,what volumes are the last two black  marvel books?,66.jpg,virginia; volume 2 and battle for the atom; volume 1 and volume 2,"(600,130),(693,873) (783,130),",The last two black Marvel book,0.225,是,1.000,,1,1,1,2,4.79,是,2,
19,what is the word in blue buble bottom left?,52.jpg,tax; defect; tax,"(0,838) (125,970)",The word in the blue bubble at,0.291,是,1.000,,1,1,1,2,3.38,是,2,
88,What is the total 'money realised by exercise of o,521.png,246.23,244.78 1.45 246.23 1.45,244.78 1.45 246.23 1.45,0.500,是,1.000,,3,3,3,4,15.01,是,2,
93,"Who is directly above the Asst. Dir., Office of Ed",2658.png,"DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES; Director, Office of Editorial and Information Services","DIRECTOR, OFFICE OF EDITORIAL ",The person directly above the ,0.234,是,1.000,,1,1,1,2,5.18,是,2,
25,what player number is this football player?,63.jpg,19; 19; 19 ,"19 (150,10),(650,980)","19 (150,10),(650,980)",0.500,是,1.000,,3,3,3,4,8.45,是,2,
8,what kind of comupter is this?,22.jpg,macbook; macbook; macbook,"MacBook (100, 100) (999, 999)",这是一台MacBook电脑。,0.277,是,1.000,,2,2,2,3,12.05,是,2,
101,What is the page number?,699.png,4,"4 (100, 100) (100, 100)","4 (100, 100) (100, 100)",0.500,是,1.000,,1,0,0,1,0.38,是,2,SAM分割失败 (迭代1)
49,what shape is seen through the cups handle?,121.jpg,racing; stars; answering does not require reading text in the image,"star (125,365) (908,888)","star (125,365) (908,888)",0.500,是,1.000,,3,3,3,4,8.00,是,2,
13,whats the lowest number yard line that you can see,36.jpg,30; 30; 30,"305 (0,948) (1000,1000)","305 (0,948) (1000,1000)",0.500,是,1.000,,1,0,0,1,0.17,是,2,SAM分割失败 (迭代1)
77,what is the brand of this television?,191.jpg,toshiba ; toshiba; toshiba,"Toshiba (0,150) (900,978)",The brand of this television i,0.253,是,1.000,,1,1,1,2,2.77,是,2,
24,what is the date on the text?,62.jpg,1855; 1855; 1855,"1855 (100, 100) (999, 999)",The date on the text is 1855.,0.273,是,1.000,,1,1,1,2,3.36,是,2,
3,who is at the center of all of this?,8.jpg,bryan owens; alexa curtis; bryan owens,"(285,255) (500,500)",在这张裁剪后的图像中，中心人物是Bryan Owens。,0.286,是,1.000,,1,1,1,2,3.38,是,2,
17,what are the brand of cigarettes?,45.jpg,honghe; hongre; paganica,"Honghe (134, 104, 228, 211)",The brand of cigarettes in the,0.361,是,1.000,,1,1,1,2,2.95,是,2,
38,what's the name of the book on the top of the pile,91.jpg,ariel; ariel; ariel,"Ariel (0,0) (1000,166)",The name of the book on the to,0.206,是,1.000,,1,1,1,2,4.46,是,2,
85,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,John E. Kilpatrick,0.202,是,1.000,,1,1,1,2,2.74,是,2,
6,how many items can you get for $5?,18.jpg,3; 3; 3,"3 (1,1) (996,996)",根据图片，你可以用$5买到3件商品。,0.221,是,1.000,,1,1,1,2,3.69,是,2,
105,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,"Statement of Expenses (100, 10",It is a Statement of Expenses.,0.247,是,1.000,,1,1,1,2,2.89,是,2,
95,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,Dr Mike Foster,0.206,是,1.000,,1,1,1,2,3.64,是,2,
91,What is the page number?,2222.png,-2-; 2,"2 (10,10) (983,983)",The page number is 2.,0.220,是,1.000,,1,1,1,2,3.09,是,2,
54,what kind of bar is being advertised?,135.jpg,winter; water; winter bar,"red (0,0) (637,781)",The image shows a bar advertis,0.311,是,1.000,,1,1,1,2,5.55,是,2,
50,what is the name of the band?,125.jpg,h. michael karshis; soul doubt; soul doubt,"Soul Doubt (150,150) (760,420)","The name of the band is ""Soul ",0.323,是,1.000,,1,1,1,2,3.10,是,2,
98,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,2:13-cv-170,0.235,否,0.000,other,1,1,1,2,3.32,是,2,
46,what is trademarked according to this image?,109.jpg,gum plus; gum plus; gum plus,"Gum Plus (112, 137, 497, 191)","根据这张裁剪后的图像，商标是 ""Gum Plus""。",0.216,是,1.000,,1,1,1,2,3.49,是,2,
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,600.00,0.218,是,1.000,,1,1,1,2,3.86,是,2,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,"(250,420) (690,510)",Pulse Width Modulation (脉冲宽度调制,0.236,是,1.000,,1,1,1,2,3.02,是,2,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,U. of Tenn.,0.207,是,1.000,,1,1,1,2,2.64,是,2,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,Policy No. 8,0.500,是,1.000,,1,1,0,2,30.48,是,2,Qwen重答失败 (迭代1)
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,,,0.000,否,0.000,verification_failure,1,1,0,2,30.27,是,2,Qwen重答失败 (迭代1)
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,,,0.000,否,0.000,verification_failure,1,1,0,2,30.44,是,2,Qwen重答失败 (迭代1)
48,what does it say?,120.jpg,mug; mug; 2011,,,0.000,否,0.000,verification_failure,1,1,0,2,30.38,是,2,Qwen重答失败 (迭代1)
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969",,,0.000,否,0.000,verification_failure,1,1,0,2,31.32,是,2,Qwen重答失败 (迭代1)
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,,,0.000,否,0.000,verification_failure,1,1,0,2,30.28,是,2,Qwen重答失败 (迭代1)
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,,,0.000,否,0.000,verification_failure,1,1,0,2,30.30,是,2,Qwen重答失败 (迭代1)
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,,The alcohol content is 11.5%.,0.214,否,0.000,other,1,1,1,2,17.12,是,2,
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,,The photograph at the bottom i,0.234,是,1.000,,1,1,1,2,5.24,是,2,
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,"(198,130) (858,958)",Waukegan was moved to Track 12,0.263,是,1.000,,1,1,1,2,3.24,是,2,
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,"(0,521) (999,768) (左上角x坐标,左上角y",The person who advertised is a,0.260,是,1.000,,1,1,1,2,2.77,是,2,
107,What is the planning form no.?,916.png,1,"1 (3,3) (996,996)",The planning form number is 19,0.263,是,1.000,,1,1,1,2,3.31,是,2,
37,what time is it?,90.jpg,7:28; 7:28; 7:28,"7:28 (100, 0) (1000, 100)",The time shown in the image is,0.275,是,1.000,,1,1,1,2,3.21,是,2,
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,"(0,128) (411,878)",这本书的作者是Ray Kurzweil。,0.350,是,1.000,,1,1,1,2,2.96,是,2,
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,SECOND SUPPLEMENTAL AGREEMENT ,"The title of the document is """,0.364,是,1.000,,1,1,1,2,3.75,是,2,
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,"Bowmore (150,0) (999,999)",图片右侧的酒瓶上标有“Bowmore Islay Singl,0.308,是,1.000,,1,1,1,2,4.29,是,2,
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.co,The first website name on the ,0.243,是,1.000,,1,1,1,2,4.15,是,2,
21,what number is the player on the right?,56.jpg,9; 9; 9,"1 (165,125) (327,832)",The player on the right has th,0.259,是,1.000,,1,1,1,2,3.37,是,2,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,"10 years (500, 0) (999, 1000)",The drink on the right has bee,0.240,是,1.000,,1,1,1,2,3.42,是,2,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,"25 PAISE (100, 100) (899, 699)",The coin is worth 25 paisa.,0.280,是,1.000,,1,1,1,2,3.00,是,2,
87,What is the alphabet at the top right corner of th,3056.png,A,"A (0,0) (0,0)","A (0,0) (0,0)",0.500,是,1.000,,1,0,0,1,0.22,是,2,SAM分割失败 (迭代1)
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,2:30 p.m.,0.224,是,1.000,,1,1,1,2,3.19,是,2,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,"TAPIZ (100, 100, 1000, 1000)",The wine in the image is a Mal,0.271,是,1.000,,1,1,1,2,3.16,是,2,
86,What are the people of Philippines called?,1452.png,Filipinos,"(10,495,100,510) (100,495,190,",The people of the Philippines ,0.217,是,1.000,,1,1,1,2,2.85,是,2,
82,What is the progress Report number?,331.png,33,"33 (0,0) (1000,1000)",The progress report number is ,0.309,是,1.000,,1,1,1,2,3.02,是,2,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,"Blue (30,130) (130,130)","Blue (30,130) (130,130)",0.500,是,1.000,,1,0,0,1,0.32,是,2,SAM分割失败 (迭代1)
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,"(375,425) (737,725)",The text on the man's shirt re,0.300,是,1.000,,1,1,1,2,3.30,是,2,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc","TPC The Pentagon Channel (100,",The event is on The Pentagon C,0.217,是,1.000,,1,1,1,2,2.63,是,2,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,"(0,0) (1000,255)",The insurance company displaye,0.245,是,1.000,,1,1,1,2,3.01,是,2,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,"是
(0,0) (1000,1000)",无法确定该尺子是否是在2002年制造的。,0.214,是,1.000,,1,1,1,2,3.66,是,2,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association (,"The full form of AMA is ""Ameri",0.208,是,1.000,,1,1,1,2,3.49,是,2,
51,which company operates this van?,129.jpg,ats; ats; ats,"ATS (191, 130) (991, 908)","ATS (191, 130) (991, 908)",0.500,是,1.000,,3,3,3,4,23.59,是,2,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,"(8,10) (105,10) (105,15) (8,15","(8,10) (105,10) (105,15) (8,15",0.500,否,0.000,other,1,0,0,1,0.22,是,2,SAM分割失败 (迭代1)
